"Date","Price","Open","High","Low","Vol.","Change %"
"02/01/2026","25,269.77","24,392.09","25,317.27","24,272.62","889.54M","2.98%"
"01/01/2026","24,538.81","24,499.51","25,507.79","24,266.33","1.22B","0.20%"
"12/01/2025","24,490.41","23,731.29","24,527.94","23,433.48","946.93M","2.74%"
"11/01/2025","23,836.79","23,990.34","24,441.28","22,943.06","1.14B","-0.51%"
"10/01/2025","23,958.30","23,755.23","24,771.34","23,684.37","1.11B","0.32%"
"09/01/2025","23,880.72","24,012.04","24,046.85","23,284.67","1.21B","-0.09%"
"08/01/2025","23,902.21","23,786.91","24,536.11","23,380.94","1.07B","-0.68%"
"07/01/2025","24,065.47","23,966.95","24,639.10","23,620.42","1.21B","0.65%"
"06/01/2025","23,909.61","23,865.38","24,479.42","23,051.55","1.26B","-0.37%"
"05/01/2025","23,997.48","22,818.18","24,325.97","22,764.51","1.43B","6.67%"
"04/01/2025","22,496.98","22,343.41","22,607.32","18,489.91","1.98B","1.50%"
"03/01/2025","22,163.49","22,682.95","23,476.01","21,978.46","1.95B","-1.72%"
"02/01/2025","22,551.43","21,301.53","22,935.06","21,252.71","1.44B","3.77%"
"01/01/2025","21,732.05","19,923.07","21,800.52","19,833.82","1.42B","9.16%"
"12/01/2024","19,909.14","19,586.17","20,522.82","19,568.50","1.11B","1.44%"
"11/01/2024","19,626.45","19,093.99","19,640.15","18,812.53","1.42B","2.88%"
"10/01/2024","19,077.54","19,409.39","19,674.68","18,911.72","1.22B","-1.28%"
"09/01/2024","19,324.93","18,913.53","19,491.93","18,208.84","1.39B","2.21%"
"08/01/2024","18,906.92","18,404.95","18,971.75","17,021.65","95.58M","2.15%"
"07/01/2024","18,508.65","18,419.75","18,781.45","18,023.45","62.45M","1.50%"
"06/01/2024","18,235.45","18,658.85","18,786.35","17,949.85","64.59M","-1.42%"
"05/01/2024","18,497.94","17,919.75","18,890.05","17,874.85","144.01M","3.16%"
"04/01/2024","17,932.17","18,119.93","18,153.69","17,920.72","88.21M","-3.03%"
"03/01/2024","18,492.49","17,795.15","18,514.65","17,619.45","75.72M","4.61%"